REDE;NR_LATITUDE_LOJA;NR_LONGITUDE_LOJA;ID_LOJA_LEGADO;TIPO_LOJA;FL_ANALISE_MADURAS
RAIA;-22,920348700000002;-43,090595299999997;10041;CONCORRENTES;0
RAIA;-22,906376000000002;-43,056324199999999;10042;CONCORRENTES;0
RAIA;-22,937572400000001;-43,061819300000003;10043;CONCORRENTES;0
RAIA;-22,903595599999999;-43,116058700000004;10044;CONCORRENTES;0
RAIA;-22,903628999999999;-43,113883000000001;10045;CONCORRENTES;0
RAIA;-22,908963499999999;-43,108359800000002;10046;CONCORRENTES;0
RAIA;-22,893931200000001;-43,122566300000003;10047;CONCORRENTES;0
RAIA;-22,898704200000001;-43,106054899999997;10048;CONCORRENTES;0
RAIA;-22,903224999999999;-43,110443699999998;10049;CONCORRENTES;0
RAIA;-22,902181200000001;-43,103292000000003;10050;CONCORRENTES;0
RAIA;-22,8967925;-43,12388;10051;CONCORRENTES;0
RAIA;-22,9022212;-43,125331099999997;10052;CONCORRENTES;0
RAIA;-22,283951099999999;-42,531613900000004;10053;CONCORRENTES;0
RAIA;-22,302316000000001;-42,541211399999987;10054;CONCORRENTES;0
RAIA;-22,285270799999999;-42,532820899999997;10055;CONCORRENTES;0
RAIA;-22,7453869;-43,439268200000001;10056;CONCORRENTES;0
RAIA;-22,6877055;-43,443094199999997;10057;CONCORRENTES;0
RAIA;-22,760884799999999;-43,456071299999998;10058;CONCORRENTES;0
RAIA;-22,758969400000002;-43,477733600000001;10059;CONCORRENTES;0
RAIA;-22,388103000000001;-43,132441;10060;CONCORRENTES;0
RAIA;-22,5098153;-43,176544200000002;10061;CONCORRENTES;0
RAIA;-22,525402;-43,192611300000003;10062;CONCORRENTES;0
RAIA;-22,5080487;-43,171972799999999;10063;CONCORRENTES;0
RAIA;-22,489373499999999;-43,153616599999999;10064;CONCORRENTES;0
RAIA;-22,5053713;-43,180997099999999;10065;CONCORRENTES;0
RAIA;-22,469225000000002;-44,454408999999998;10066;CONCORRENTES;0
RAIA;-22,463128900000001;-44,4473865;10067;CONCORRENTES;0
RAIA;-22,712310899999999;-42,630035100000001;10068;CONCORRENTES;0
RAIA;-22,506947799999999;-41,926139200000001;10069;CONCORRENTES;0
RAIA;-22,5128655;-41,930596000000001;10070;CONCORRENTES;0
RAIA;-22,982269000000002;-43,216601746411612;10071;CONCORRENTES;0
RAIA;-23,020380899999999;-43,453600600000001;10072;CONCORRENTES;0
RAIA;-22,985248800000001;-43,226888000000002;10073;CONCORRENTES;0
RAIA;-22,986013;-43,227945800000001;10074;CONCORRENTES;0
RAIA;-22,984039200000002;-43,219157299999999;10075;CONCORRENTES;0
RAIA;-22,983485699999999;-43,217153600000003;10076;CONCORRENTES;0
RAIA;-22,982793300000001;-43,362822000000001;10077;CONCORRENTES;0
RAIA;-22,829125099999999;-43,319410699999999;10078;CONCORRENTES;0
RAIA;-22,908057700000001;-43,564712;10079;CONCORRENTES;0
