REDE,NR_LATITUDE_LOJA,NR_LONGITUDE_LOJA,ID_LOJA_LEGADO,TIPO_LOJA,FL_ANALISE_MADURAS,Qtd_Lojas_Venancio,Qtd_Lojas_Concorrentes,Qtd_Total_Lojas_Proximas
RAIA,-22.9724849,-43.3924623,10097,CONCORRENTES,0,0,0,0
RAIA,-22.9222242,-43.3607537,10098,CONCORRENTES,0,0,0,0
RAIA,-22.9572295,-43.1766264,10099,CONCORRENTES,0,0,0,0
RAIA,-23.0097361,-43.3506803,10100,CONCORRENTES,0,0,0,0
RAIA,-22.9219385,-43.2353733,10101,CONCORRENTES,0,0,0,0
RAIA,-22.9217671,-43.3704307,10102,CONCORRENTES,0,0,0,0
RAIA,-22.9675176,-43.1823287,10103,CONCORRENTES,0,0,0,0
RAIA,-22.9716641,-43.1877122,10104,CONCORRENTES,0,0,0,0
RAIA,-22.9639681,-43.174076,10105,CONCORRENTES,0,0,0,0
RAIA,-22.9756625,-43.1896793,10106,CONCORRENTES,0,0,0,0
RAIA,-23.0150319,-43.3057599,10107,CONCORRENTES,0,0,0,0
RAIA,-22.8778046,-43.2714868,10108,CONCORRENTES,0,0,0,0
RAIA,-22.9116084,-43.1750055,10109,CONCORRENTES,0,0,0,0
RAIA,-22.9568701,-43.3508144,10110,CONCORRENTES,0,0,0,0
RAIA,-23.0091716,-43.3065551,10111,CONCORRENTES,0,0,0,0
RAIA,-22.9153026,-43.2442728,10112,CONCORRENTES,0,0,0,0
RAIA,-22.91881,-43.550966,10113,CONCORRENTES,0,0,0,0
RAIA,-22.9707437,-43.3887283,10114,CONCORRENTES,0,0,0,0
RAIA,-22.9426988,-43.3406494,10115,CONCORRENTES,0,0,0,0
RAIA,-22.8053463,-43.2018863,10116,CONCORRENTES,0,0,0,0
RAIA,-22.9983631,-43.269988,10117,CONCORRENTES,0,0,0,0
RAIA,-22.8713704,-43.3412983,10118,CONCORRENTES,0,0,0,0
RAIA,-22.9166759,-43.3771793,10119,CONCORRENTES,0,0,0,0
RAIA,-22.927935,-43.3589685,10120,CONCORRENTES,0,0,0,0
RAIA,-22.9744931,-43.4139128,10121,CONCORRENTES,0,0,0,0
RAIA,-22.9119751,-43.1879433,10122,CONCORRENTES,0,0,0,0
RAIA,-22.9350268,-43.3357086,10123,CONCORRENTES,0,0,0,0
RAIA,-22.9654958,-43.1806755,10124,CONCORRENTES,0,0,0,0
RAIA,-22.926087,-43.2457742,10125,CONCORRENTES,0,0,0,0
RAIA,-22.8744835,-43.3367364,10126,CONCORRENTES,0,0,0,0
RAIA,-22.9243104,-43.2282299,10127,CONCORRENTES,0,0,0,0
RAIA,-22.9288806,-43.2372251,10128,CONCORRENTES,0,0,0,0
RAIA,-22.9027099,-43.5592115,10129,CONCORRENTES,0,0,0,0
RAIA,-22.9049729,-43.1763919,10130,CONCORRENTES,0,0,0,0
RAIA,-22.933695,-43.1857207,10131,CONCORRENTES,0,0,0,0
RAIA,-22.9029677,-43.2824073,10132,CONCORRENTES,0,0,0,0
RAIA,-22.9045719,-43.2886525,10133,CONCORRENTES,0,0,0,0
RAIA,-22.9261081,-43.1767647,10134,CONCORRENTES,0,0,0,0
RAIA,-22.930953,-43.1761951,10135,CONCORRENTES,0,0,0,0
RAIA,-22.8537481,-43.3503366,10136,CONCORRENTES,0,0,0,0
