rede;logradouro;bairro;latitude;longitude;data_primeira_venda;nm_Loja
VENANCIO;ESTRADA DOS TRES RIOS, 347 ;FREGUESIA;-22,9384688;-43,340442;01/01/1900;V31 - VENANCIO
VENANCIO;RUA NERI PINHEIRO, 293 299 E 303;CENTRO-RJ;-22,9119151;-43,202639;01/01/1900;V32 - VENANCIO
VENANCIO;RUA BARAO DE MESQUITA, 1002 LJ B;GRAJAU;-22,9232358;-43,2577841;01/01/1900;V34 - VENANCIO
VENANCIO;AVENIDA ATAULFO DE PAIVA, 1015 LJ A;LEBLON;-22,9852623;-43,2254138;01/01/1900;V35 - VENANCIO
VENANCIO;ESTRADA DO PORTELA, 17 LOJA;MADUREIRA;-22,8737384;-43,3374813;01/01/1900;V36 - VENANCIO
VENANCIO;RUA DIAS DA CRUZ, 110 ;MEIER;-22,9020453;-43,2807992;01/01/1900;V37 - VENANCIO
VENANCIO;AVENIDA NOSSA SENHORA DE COPACABANA, 791 793 LOJA A;COPACABANA;-22,9733002;-43,1882796;01/01/1900;V38 - VENANCIO
VENANCIO;AVENIDA VISCONDE DO RIO BRANCO, 461 E R JOSE CLEMENTE 09;CENTRO-NITEROI;-22,894509;-43,1235131;01/01/1900;V39 - VENANCIO
VENANCIO;RUA CARVALHO DE SOUZA, 294 ;MADUREIRA;-22,8749407;-43,336265;01/01/1900;V40 - VENANCIO
VENANCIO;RUA DOUTOR PAULO CESAR, 2 E 18;ICARAÍ;-22,8994009;-43,1110499;01/01/1900;V41 - VENANCIO
VENANCIO;RUA VOLUNTARIOS DA PATRIA, 257 ;BOTAFOGO;-22,9535727;-43,1902572;01/01/1900;V43 - VENANCIO
VENANCIO;RUA CORONEL MOREIRA CESAR, 254 102/104;ICARAÍ;-22,9075807;-43,1103111;01/01/1900;V44 - VENANCIO
VENANCIO;RUA DA CONCEICAO, 79 ;CENTRO-NITEROI;-22,8940144;-43,1213729;01/01/1900;V45 - VENANCIO
VENANCIO;PRAÇA DAS NACOES, 252 252A 252B E 292;BONSUCESSO;-22,8660561;-43,2552512;01/01/1900;V46 - VENANCIO
VENANCIO;AVENIDA NOSSA SENHORA DE COPACABANA, 872 LOJA A;COPACABANA;-22,9743413;-43,189506;01/01/1900;V47 - VENANCIO
VENANCIO;RUA FIGUEIREDO MAGALHAES, 266 LJ A;COPACABANA;-22,9696754;-43,1863239;01/01/1900;V48 - VENANCIO
